common_name,botanical_name,plant_url
Sticky Phacelia,Phacelia viscida,//legacy.calscape.org/qrcodes/Phacelia-viscida(192)
Nootka Rose,Rosa nutkana,//legacy.calscape.org/qrcodes/Rosa-nutkana(192)
Southern California Black Walnut,Juglans californica,//legacy.calscape.org/qrcodes/Juglans-californica(192)
Incense Cedar,Calocedrus decurrens,//legacy.calscape.org/qrcodes/Calocedrus-decurrens(192)
Baby Blue Eyes,Nemophila menziesii,//legacy.calscape.org/qrcodes/Nemophila-menziesii(192)
Oregon Grape,Berberis nervosa,//legacy.calscape.org/qrcodes/Berberis-nervosa(192)
California Buckeye,Aesculus californica,//legacy.calscape.org/qrcodes/Aesculus-californica(192)
Salmon Berry,Rubus spectabilis,//legacy.calscape.org/qrcodes/Rubus-spectabilis(192)
California Laurel,Umbellularia californica,//legacy.calscape.org/qrcodes/Umbellularia-californica(192)
San Diego County Viguiera,Bahiopsis laciniata,//legacy.calscape.org/qrcodes/Bahiopsis-laciniata(192)
California Juniper,Juniperus californica,//legacy.calscape.org/qrcodes/Juniperus-californica(192)
Greenbark Ceanothus,Ceanothus spinosus,//legacy.calscape.org/qrcodes/Ceanothus-spinosus(192)
Cardinal Flower,Lobelia cardinalis,//legacy.calscape.org/qrcodes/Lobelia-cardinalis(192)
Small Leaved Rose,Rosa minutifolia,//legacy.calscape.org/qrcodes/Rosa-minutifolia(192)
Santa Catalina Island Manzanita,Arctostaphylos catalinae,//legacy.calscape.org/qrcodes/Arctostaphylos-catalinae(192)
Prairie Flax,Linum lewisii,//legacy.calscape.org/qrcodes/Linum-lewisii(192)
Sky Lupine,Lupinus nanus,//legacy.calscape.org/qrcodes/Lupinus-nanus(192)
Island Oak,Quercus tomentella,//legacy.calscape.org/qrcodes/Quercus-tomentella(192)
Scarlet Bugler,Penstemon centranthifolius,//legacy.calscape.org/qrcodes/Penstemon-centranthifolius(192)
Bleeding Heart,Dicentra formosa,//legacy.calscape.org/qrcodes/Dicentra-formosa(192)
Goodding's Black Willow,Salix gooddingii,//legacy.calscape.org/qrcodes/Salix-gooddingii(192)
Santa Lucia Bushmallow,Malacothamnus lucianus,//legacy.calscape.org/qrcodes/Malacothamnus-lucianus(192)
Crevice Alumroot,Heuchera micrantha,//legacy.calscape.org/qrcodes/Heuchera-micrantha(192)
False Solomon Seal,Maianthemum stellatum,//legacy.calscape.org/qrcodes/Maianthemum-stellatum(192)
Stinging Lupine,Lupinus hirsutissimus,//legacy.calscape.org/qrcodes/Lupinus-hirsutissimus(192)
Canyon Live Oak,Quercus chrysolepis,//legacy.calscape.org/qrcodes/Quercus-chrysolepis(192)
Whiteleaf Manzanita,Arctostaphylos viscida,//legacy.calscape.org/qrcodes/Arctostaphylos-viscida(192)
Humboldt's Lily,Lilium humboldtii,//legacy.calscape.org/qrcodes/Lilium-humboldtii(192)
Menzies' Goldenbush,Isocoma menziesii,//legacy.calscape.org/qrcodes/Isocoma-menziesii(192)
Franciscan Manzanita,Arctostaphylos franciscana,//legacy.calscape.org/qrcodes/Arctostaphylos-franciscana(192)
California Goldfields,Lasthenia californica,//legacy.calscape.org/qrcodes/Lasthenia-californica(192)
Brickell Bush,Brickellia californica,//legacy.calscape.org/qrcodes/Brickellia-californica(192)
Santa Rosa Island Sage,Salvia brandegeei,//legacy.calscape.org/qrcodes/Salvia-brandegeei(192)
Southern Honeysuckle,Lonicera subspicata,//legacy.calscape.org/qrcodes/Lonicera-subspicata(192)
Morro Manzanita,Arctostaphylos morroensis,//legacy.calscape.org/qrcodes/Arctostaphylos-morroensis(192)
